Question,Correct Answer,False Option 1,False Option 2,False Option 3
Ethics is best defined as:,Reflection on what is right or wrong,A legal system enforcing rules,Cultural traditions,Personal beliefs only
Morality differs from ethics because morality refers to:,Practical behavior and actions,Universal laws,Legal punishments,Philosophical theories
The word “ethics” originates from the Greek word meaning:,Habit,Justice,Law,Virtue
Which example best represents ethics rather than morality?,Saying “stealing is wrong”,Choosing not to steal,A law against theft,Being punished for theft
The Cambridge Analytica scandal involved:,Harvesting Facebook user and friend data without consent,Selling user passwords,Data collection with explicit consent,A software bug
Approximately how many Facebook profiles were affected in the Cambridge Analytica case?,87 million,1 million,10 million,500 million
Which outcome resulted from the Cambridge Analytica scandal?,Introduction of GDPR debates,Facebook shutdown,Elimination of targeted advertising,End of social media platforms
Frances Haugen’s leak revealed that:,Instagram negatively affected teenage girls’ body image,Facebook had no internal research,Instagram improved teenage mental health,Facebook banned internal studies
What percentage of teenage girls reported feeling worse due to Instagram?,32%,10%,20%,50%
Facebook’s rebranding to “Meta” was partly intended to:,Shift public narrative,Improve software performance,Avoid regulation,End social media use
In the Apple vs. FBI case, Apple refused to:,Unlock an iPhone,Share iCloud data,Provide user passwords,Shut down encryption
This case raised awareness about:,Encryption rights,Terrorism laws,Cloud storage,Device ownership
The Uber self-driving car fatality occurred because:,AI failed to classify a pedestrian correctly,Sensors failed completely,Weather conditions,System hacking
Who was held criminally liable in the Uber autonomous vehicle case?,Safety driver,Uber,AI system,Programmer
The “right to be forgotten” allows individuals to:,Remove outdated or irrelevant personal information from search results,Delete all internet content,Censor news,Hide criminal records
Legal aspects in computing are mainly concerned with:,Application of law to computing,Ethical decision-making,User interface design,Programming languages
Which is NOT a legal aspect mentioned?,Software testing,Copyright,Outsourcing contracts,Online buying rules
Relativism suggests that:,What is right varies between individuals,Moral rules are universal,Laws determine ethics,Ethics are culture-based
Cultural relativism defines right and wrong based on:,Society’s values,Individual opinion,Religious doctrine,Legal systems
Deontological ethics focuses on:,Moral duties and universal laws,Consequences,Happiness,Personal benefit
Utilitarianism judges actions based on:,Consequences and overall happiness,Intentions,Rules,Cultural norms
Professional ethics primarily govern:,Behavior within a profession,Company profits,Personal beliefs,Government policy
Which organizations provide professional codes of ethics?,ACM, IEEE, BCS,Google, Apple, Microsoft,UN, EU, NATO,ISO, W3C
Violating professional codes may lead to:,Disciplinary action,Salary increase,Legal immunity,Promotion
Business ethics primarily guide:,Employee behavior,Software performance,Legal enforcement,Customer support
Accepting gifts from suppliers may cause:,Conflict of interest,Legal compliance,CSR improvement,Whistleblowing
Which phrase summarizes Bernard Lonergan’s ethical guidance?,Be attentive, intelligent, reasonable, responsible,Act fast and innovate,Be competitive,Follow the law only
The Foxconn case raised concerns about:,Worker rights vs. profit,Software bugs,Environmental damage,Data privacy
Which issue was reported at Foxconn?,Worker suicides,Low profits,Short work hours,Free housing
CSR treats businesses as:,Responsible citizens,Profit-maximizers only,Legal enforcers,Government bodies
Green IT focuses on:,Energy-efficient technologies,Software licensing,AI ethics,Cybercrime prevention
Whistleblowers are individuals who:,Report unethical practices,Leak data for profit,Hack systems,Monitor employees
A major risk for whistleblowers is:,Career damage,Legal immunity,Financial reward,Promotion
Workplace privacy conflicts arise between:,Employers’ productivity vs. employees’ dignity,Security and profit,Ethics and law,Speed and quality
Computer ethics guides:,Individual behavior using computers,Hardware design,Legal frameworks,Network performance
Which is a violation of the Ten Commandments of Computer Ethics?,Reading someone else’s emails,Secure programming,Software testing,Bug reporting
Copying proprietary software without payment violates:,Intellectual property rights,Fair use,Open-source rules,CSR
Deep fakes are best described as:,AI-generated misleading media,Malware,Encryption tools,Privacy filters
The digital divide refers to:,Unequal access to technology,Cybercrime growth,AI bias,Network failures
Ethical software engineering emphasizes:,Honesty, fairness, responsibility,Speed over quality,Profit maximization,Minimal testing
Professionals should resist:,Unethical instructions,Learning new skills,Client communication,Testing standards
The Volkswagen emissions scandal involved:,Software designed to cheat tests,Hardware failure,Driver error,Environmental activism
Consequences for Volkswagen included:,$30+ billion in fines and lawsuits,No penalties,Increased sales,Software awards
