Question,Correct Answer,False Option 1,False Option 2,False Option 3
Laws are best defined as:,Rules of behavior made by the legislature and enforced by the state,Moral guidelines,Religious obligations,Organizational policies
Which feature distinguishes legal rules from other social rules?,They are enforced by the state with sanctions,They are voluntary,They apply only to organizations,They are informal
Which is NOT a type of rule in society?,Technical standards only,Rules of etiquette,Religious rules,Organizational rules
The Code of Hammurabi is known for:,One of the earliest written legal codes,Lenient punishments,Democratic trials,Separation of powers
A key principle of Babylonian law was:,Innocent until proven guilty,Equality of punishment,Trial by jury,Judicial precedent
Draconian Law is remembered mainly for:,Extremely harsh penalties,Fairness,Civil rights,Codification
Athenian courts were characterized by:,Large citizen juries and no lawyers,Professional lawyers,Small juries,Written constitutions
The Trial of Socrates is an example of:,Athenian democratic justice,Roman law,Common law,Religious law
The Twelve Tables represented:,The earliest Roman civil law,Criminal law,Canon law,Common law
Justinian’s Corpus Juris Civilis included all EXCEPT:,Magna Carta,Codex,Digest,Institutions
Roman law’s main legacy is:,Foundation of modern civil law systems,Creation of common law,Religious law dominance,Abolition of courts
Jus gentium applied to:,Citizens and foreigners,Only Roman citizens,Only foreigners,Slaves only
Which legal system relies heavily on judicial precedent?,Common law,Civil law,Sharia law,Natural law
Civil law systems are characterized by:,Codified legal rules,Judge-made law,Religious authority,Oral traditions
Sharia law is primarily based on:,The Qur’an and Hadith,Case law,Roman law,Parliamentary statutes
Natural law theory claims that:,Rights arise from human nature,All law is created by the state,Law is purely cultural,Law must always be written
English common law became centralized under:,William the Conqueror,Julius Caesar,Napoleon,Justinian
Binding precedent means:,Similar cases must be treated alike,Judges may ignore past cases,Laws are fixed forever,Parliament controls courts
Magna Carta (1215) established:,Rule of law even over the monarch,Absolute monarchy,Codified civil law,Democracy for all
Magna Carta applied mainly to:,Free men,All citizens,Peasants,Foreigners
The Bill of Rights Act (1689) strengthened:,Parliamentary power and civil liberties,Monarchical power,Military authority,Religious courts
The British constitution is unusual because it is:,Uncodified,Fully codified,Religious,Written in one document
An independent judiciary means judges are:,Free from political interference,Controlled by parliament,Appointed for life only,Elected by citizens
“No punishment without breach of law” reflects:,Legal certainty,Judicial activism,Arbitrary justice,Religious authority
One benefit of precedent is:,Predictability and consistency,Rapid legal change,Unlimited flexibility,Judicial creativity
A major challenge of precedent is that it:,May become outdated,Is too democratic,Is unpredictable,Eliminates fairness
Montesquieu’s tripartite system divides power into:,Executive judiciary legislature,Church state citizens,King parliament courts,Local national international
The purpose of separation of powers is to:,Prevent concentration of power,Speed up lawmaking,Strengthen monarchy,Limit courts
Criminal law involves:,State prosecution of wrongdoing,Disputes between individuals,Contract disputes,Property ownership
The burden of proof in criminal law is:,Beyond reasonable doubt,Balance of probabilities,Preponderance of evidence,Absolute certainty
Civil law cases typically involve:,Citizen vs citizen,State vs citizen,Military courts,International tribunals
Donoghue v Stevenson established:,Duty of care in negligence,Contract law,Criminal liability,Strict liability
The “Inheritance by Email” case shows that civil law:,Strictly follows codified rules,Is flexible,Prioritizes intention,Ignores formalities
The OJ Simpson case demonstrated:,Difference between criminal and civil burdens of proof,Failure of courts,Judicial bias,Media irrelevance
Civil law judges primarily:,Apply written codes,Create law,Rely on juries,Follow precedent strictly
The Napoleonic Codes aimed to:,Create legal certainty,Increase judicial discretion,Strengthen monarchy,Eliminate legislation
Sharia law governs:,Private and public life,Only criminal law,Business contracts only,International relations
Contemporary debates in Islamic law concern:,Tradition vs reform,Technology use,Codification,Colonial law
EU law has which relationship to national law?,Supremacy,Subordinate,Equal,Advisory
The European Convention on Human Rights protects:,Fundamental civil liberties,Only economic rights,Corporate rights,Religious law
Individuals may bring cases against states before:,ECHR,ICC,ICJ,National courts only
Natural rights are:,Universal and inalienable,Granted by governments,Temporary,Optional
The Argentine dictatorship case reinforced that:,Unjust laws lack legitimacy,Orders justify actions,Military law prevails,Courts lack authority
The Universal Declaration of Human Rights was adopted in:,1948,1919,1939,1953
Freedom of speech includes the right to:,Seek and impart information,Harm others,Violate privacy,Incite violence
Limits on free speech exist mainly to:,Prevent harm to others,Protect governments,Restrict ideas,Enforce morality
The Charlie Hebdo case highlighted tension between:,Free expression and protection from harm,Security and economy,Religion and law,Courts and parliament
Workplace monitoring without notice violates:,Right to privacy,Property rights,Freedom of religion,Contract law
The rule of law means:,Laws apply equally to everyone,Judges rule arbitrarily,Governments are above the law,Laws are optional
A fair legal system is based on:,Human dignity and due process,Authority,Speed,Power
