Question,Correct Answer,False Option 1,False Option 2,False Option 3
Outsourcing is best defined as,Contracting out business functions to third-party providers,Hiring employees permanently,Moving a company headquarters abroad,Automating internal processes
Offshoring refers to,Outsourcing to distant countries,Outsourcing to nearby countries,Outsourcing within the same country,Hiring freelancers locally
Nearshoring means,Outsourcing to nearby countries,Outsourcing to distant regions,Outsourcing only within the EU,Insourcing development
Companies outsource mainly to,Reduce costs gain expertise and improve efficiency,Reduce regulation,Avoid ethical responsibility,Replace management
IBM shifted thousands of jobs to India primarily to,Reduce labor costs,Improve quality,Comply with regulations,Increase innovation
Project Match offered displaced workers,Relocation abroad for the same job at lower salaries,Severance packages only,Promotions,Early retirement
Ethical concerns raised by the IBM case included,Workforce displacement and data protection risks,Software piracy,Lack of innovation,IP ownership
Which is NOT a risk of outsourcing,Guaranteed quality,Loss of control,Supplier bankruptcy,Confidentiality risks
Cultural and communication barriers often arise due to,Language and time-zone differences,Technical debt,Legal certainty,Standardization
Political instability in supplier countries can lead to,Supply disruption,Faster delivery,Lower costs,Better compliance
A key benefit of outsourcing is,Focus on core business activities,Loss of accountability,Reduced legal obligations,Elimination of management
Outsourcing provides access to,Expertise not available in-house,Unlimited labor,Free services,Guaranteed innovation
Supplier selection matters because,Supplier competence affects project success,It reduces documentation,It removes risk,Cost is the only factor
Which factor should NOT be the sole criterion in supplier selection,Cost,Technical capability,Experience,Reliability
ISO 9001 certification relates to,Quality management,Information security,Data privacy,Software licensing
ISO 27001 certification demonstrates,Information security management,UI quality,Open-source compliance,Agile maturity
RFP stands for,Request for Proposal,Request for Payment,Report for Planning,Requirement for Pricing
Which step comes FIRST in supplier selection,Planning and requirements definition,Acceptance testing,Rollout,Contract termination
Acceptance testing is performed to,Verify software is fit for purpose,Replace system testing,Train developers,Define requirements
A Statement of Work defines,Deliverables timelines and responsibilities,Payment methods only,Penalties only,Source code ownership only
A Service Level Agreement specifies,Service expectations and penalties,Economic standards,IP ownership,Programming languages
An escrow agreement is used to,Hold source code with a trusted third party,Pay suppliers,Transfer IP automatically,Avoid contracts
The BA IT outage occurred mainly because,Inadequate disaster recovery and operational errors,Cyberattacks,Hardware shortages,Legal disputes
A key lesson from the BA case is,Cost-driven contracts increase risk,Lowest cost is best,Supplier redundancy is unnecessary,Outsourcing eliminates responsibility
The RBS Infosys project failed mainly due to,Missed milestones and changing requirements,Cybercrime,Regulatory bans,Poor UI design
This case highlights the importance of,Clear requirements and contract updates,Ignoring contracts,Choosing the cheapest supplier,Avoiding outsourcing
Effective outsourcing management includes,Regular monitoring audits and reporting,Minimal communication,Delegating all responsibility,Ignoring quality
Acceptance testing should occur,Before final approval,After rollout,During supplier selection,After contract termination
Ethical concerns arise when outsourcing to countries with,Weak labor and environmental protection,Strong labor laws,High wages,Advanced infrastructure
The principle primum non nocere means,Do no harm,Maximize profit,Obey contracts,Reduce costs
CSR in outsourcing requires companies to consider,Worker well-being and environmental impact,Only cost savings,Speed of delivery only,Shareholder value only
Foxconn suicides raised concerns about,Supplier labor conditions,Software quality,Data privacy,IP ownership
Which is NOT an ethical risk,Strong IP protection,Exploitation of labor,Environmental negligence,Corruption
Ethical supplier evaluation should be,Part of supplier selection,Optional,Ignored if legal,Left to suppliers
Ethical corporations should,Audit suppliers regularly,Choose the cheapest suppliers,Avoid transparency,Ignore subcontracting
Hidden subcontracting without disclosure is,Unethical,Acceptable,Efficient,Required
A material breach is,Fundamental failure to deliver,Minor delay,Economic disagreement,Price negotiation
Anticipatory breach occurs when,A party signals it will not fulfill obligations,Work is completed early,Payment is delayed,SLA targets are exceeded
To claim breach of contract the plaintiff must show,Loss or damage,Ethical concerns only,Media attention,Public outrage
Courts may award all EXCEPT,Punitive damages common,Financial compensation,Injunctions,Restitution
The failed influencer app outsourcing case involved,Vague contracts and hidden subcontracting,Clear SOW and strong SLA,Over-testing,Strong IP clauses
The Hertz vs Accenture case showed that,Vague contracts can lead to disputes,Outsourcing eliminates legal risk,Litigation is always successful,Cost overruns are irrelevant
The gaming server outsourcing failure was caused by,SLA breach and poor supplier selection,Strong supplier expertise,Over-engineering,Strong testing
Refusing to hand over source code usually indicates,Missing IP clauses in contract,Ethical compliance,Good governance,Agile success
Lowest cost is not best option highlights,Hidden costs and quality risks,Outsourcing inefficiency,Legal immunity,Vendor loyalty
Contracts should explicitly state rules about,Subcontracting,Team friendships,UI design,Programming languages
Ethical outsourcing should be guided primarily by,Ethics law and long-term sustainability,Cost reduction,Speed,Innovation only
Outsourcing responsibility,Remains with the client company,Transfers fully to the supplier,Is eliminated by contracts,Is optional
