Question,Correct Answer,False Option 1,False Option 2,False Option 3
Ethics is best described as:,A branch of philosophy dealing with right and wrong,A legal system,Cultural traditions only,Religious commandments
The Greek word “ethos” means:,Habit or custom,Law,Justice,Virtue
Ethics primarily helps individuals:,Resolve conflicts between values,Obey the law,Maximize profit,Avoid responsibility
Ethics provides:,A framework for critical moral reasoning,Punishments for wrongdoing,Legal enforcement,Universal answers for all situations
The development of early ethical systems was influenced by:,Settled societies and social order,Technology,Nomadic lifestyles,Democracy
The first written legal code was:,Code of Hammurabi,Roman Law,Mosaic Law,Athenian Law
The Code of Hammurabi originated in:,Mesopotamia,Egypt,Greece,Rome
The principle “an eye for an eye” is known as:,Lex talionis,Natural law,Golden Rule,Social contract
Which feature was part of Hammurabi’s Code?,Innocent until proven guilty,Equality for all citizens,No physical punishment,Democratic voting
Hammurabi’s laws applied:,Differently to nobles freemen and slaves,Equally to everyone,Only to nobles,Only to criminals
The Code of Hammurabi served both:,Political and moral purposes,Economic and military purposes,Religious and scientific purposes,Educational and artistic purposes
Hammurabi-style accountability in modern tech suggests:,Ethical responsibility should scale across individuals and organizations,Blaming only the programmer,Blaming only the AI,No responsibility for harm
In autonomous systems ethical responsibility should:,Be shared from code to company to society,Rest on a single individual,Be ignored,Be left to governments only
Ethics in Ancient Egypt were based on:,Ma’at,Law,Democracy,Utilitarianism
Ma’at represents:,Justice balance truth and order,Power,Wealth,Knowledge
Ethical judgment in Ancient Egypt was linked to:,The afterlife,Courts,Public opinion,Political office
In Egyptian belief a person’s heart was weighed against:,The feather of Ma’at,A book,A scale,Gold
The “Declaration of Innocence” is found in:,Book of the Dead,Code of Hammurabi,Bible,Republic by Plato
Ethics in Ancient Egypt were:,Integrated with religion and governance,Separate from religion,Separate from governance,Only personal
In tech ethics Ma’at corresponds to:,Internal moral compass,External laws,Company policy,Market forces
Hammurabi corresponds to:,External rules and compliance,Personal ethics,Internal motivation,Emotional judgment
Athenian democracy allowed participation by:,Male citizens only,All citizens,Only educated elites,Slaves and women
A key weakness of Athenian democracy was:,Influence of skilled rhetoric,Lack of voting,Too many laws,Lack of participation
Socrates believed the good life aimed at:,Eudaimonia flourishing,Wealth,Power,Pleasure
According to Socrates people do wrong because:,They lack knowledge,They are evil,They seek pleasure,Laws are weak
Socrates claimed that:,No one does wrong willingly,People do wrong willingly,Ethics is emotional,Laws determine morality
Plato believed that:,Virtue and reason lead to harmony,Senses provide truth,Pleasure is the highest good,Ethics is subjective
Aristotle believed happiness is achieved through:,Excellent character,Wealth,Obedience,Power
According to Aristotle ethics is learned through:,Practice and habit,Laws,Punishment,Religion
The “Golden Mean” states that virtue lies:,Between extremes,In extremes,In majority opinion,In obedience
Which is NOT a cardinal virtue?,Loyalty,Prudence,Courage,Temperance
Responsible disclosure of security flaws best reflects:,The Golden Mean,Recklessness,Silence,Legal obligation only
Stoicism emphasizes:,Emotional control and rationality,Pleasure,Wealth,Power
Epicureanism defines happiness as:,Pleasure and absence of pain,Wealth,Power,Obedience
Both Stoicism and Epicureanism value:,Self-control and rationality,Power,Emotion,Law
Christian ethics emphasize:,Love compassion and the Golden Rule,Obedience to the state,Legalism,Punishment
The Golden Rule states:,Treat others as you want to be treated,Obey authority,Maximize happiness,Follow tradition
Islamic ethics are based on:,Qur’an and Sunnah,Philosophy,Roman law,Democracy
Zakat in Islamic ethics promotes:,Charity and social responsibility,Profit,Surveillance,Individualism
Buddhist ethics emphasize:,Non-violence and mindfulness,Competition,Legal compliance,Economic growth
The Eightfold Path aims to:,End suffering,Enforce law,Gain power,Maximize pleasure
Confucian ethics focus on:,Family virtue and harmony,Individual freedom,Pleasure,Punishment
Utilitarianism judges actions based on:,Consequences and happiness,Intent,Rules,Character
A key criticism of utilitarianism is:,It may harm minorities,It ignores consequences,It ignores happiness,It is religious
Deontological ethics focus on:,Moral duties and rules,Outcomes,Pleasure,Profit
Kant’s categorical imperative requires:,Universal moral rules,Maximizing happiness,Treating humans as means,Flexibility
Libertarianism emphasizes:,Individual freedom,Social justice,Government control,Equality
Virtue ethics focuses primarily on:,Moral character,Laws,Outcomes,Punishment
Surveillance capitalism refers to:,Monetizing personal data through tracking,Government spying,Ethical hacking,Open data
A major ethical concern of AI today is:,Algorithmic bias,Speed,Storage,Interface design
Algorithmic impact assessments are suggested to:,Evaluate societal effects of algorithms,Increase profit,Reduce regulation,Replace audits
Google’s AI Ethics Board collapsed mainly due to:,Conflict between ethics and profit,Lack of funding,Technical failure,Legal pressure
Lonergan’s ethical steps begin with:,Be attentive,Be responsible,Be reasonable,Be intelligent
The first step in ethical decision-making is:,Determine the facts,Choose option,Evaluate options,Implement solution
An ethical organization should:,Align personal and organizational values,Ignore personal values,Reward unethical success,Avoid codes of ethics
White-hat hackers:,Protect users,Exploit systems,Ignore law,Seek profit
Grey-hat hackers typically:,Disclose vulnerabilities publicly when ignored,Follow all laws,Exploit for profit,Avoid disclosure
The statement “Legality sets the floor ethics sets the ceiling” means:,Ethics goes beyond legal compliance,Ethics is optional,Law is more important than ethics,Ethics replaces law
