Question,Correct Answer,False Option 1,False Option 2,False Option 3
Professional responsibility refers to:,Performing duties to the highest professional and ethical standards,Following company orders only,Acting according to personal beliefs,Avoiding accountability
Professional responsibility requires professionals to:,Accept accountability for outcomes of their work,Maximize profit,Follow ethics only when convenient,Rely on management decisions
Software engineers have:,Individual professional responsibility,Only collective responsibility,Only legal responsibility,No responsibility for harm
Designing unsafe software for a hospital system violates:,Professional responsibility,Corporate policy only,Contract law only,User expectations
Which is NOT a fundamental responsibility of professional engineers?,Profit maximization,Honesty and fairness,Accountability,Lifelong learning
Presenting capabilities and limitations truthfully is part of:,Honesty and fairness,Accountability,Integrity,Competence
Undertaking only work one is qualified for relates to:,Competence,Integrity,Accountability,Loyalty
Objecting when ethical standards are violated demonstrates:,Integrity,Disloyalty,Insubordination,Negligence
Lifelong learning is important because professionals must:,Maintain up-to-date knowledge,Compete with colleagues,Avoid regulation,Increase salary
A professional code of ethics primarily:,Expresses ideals and principles of professional behaviour,Replaces the law,Guarantees immunity,Enforces company policy
Codes of ethics:,Provide guidelines for responsible conduct,Apply only to managers,Are optional suggestions,Eliminate ethical dilemmas
Codes of ethics are developed by:,Professional or corporate bodies,Governments only,Courts,Universities
Codes of ethics:,Supplement legal obligations,Replace legal obligations,Are more important than law,Eliminate need for judgment
Aspirational codes primarily:,Describe ideal values and goals,Enforce punishment,Define legal penalties,Restrict innovation
Advisory codes help professionals:,Make ethical decisions in specific situations,Avoid responsibility,Enforce discipline,Replace management
Disciplinary codes:,Contain enforcement and sanctions,Provide moral inspiration only,Replace advisory codes,Ignore misconduct
One purpose of codes of ethics is to:,Strengthen public trust,Increase profit,Reduce accountability,Replace morality
Codes help professionals justify ethical objections by:,Referring to the code,Ignoring management,Breaking the law,Acting secretly
A major limitation of codes of ethics is that they:,Cannot foresee all ethical situations,Are illegal,Are too strict,Eliminate personal judgment
“Window-dressing” refers to:,Pretending to be ethical without real commitment,Ethical leadership,Genuine CSR,Transparency
CSR means corporations should:,Act as good citizens in society,Focus only on profit,Replace governments,Avoid ethics
Which is NOT a dimension of CSR?,Legal immunity,Environmental responsibility,Ethical responsibility,Philanthropic responsibility
Environmental responsibility focuses on:,Sustainability and protection of the environment,Profit growth,Employee training,Marketing
A key risk of CSR initiatives is:,Window-dressing,Legal enforcement,Increased accountability,Reduced trust
A conflict of interest occurs when:,Personal interests interfere with professional duties,Company policies conflict,Ethics conflict with law,Teams disagree
Selecting a vendor owned by a relative without disclosure is:,A conflict of interest,Acceptable,Efficient,Legal compliance
The ethical response to a conflict of interest is to:,Disclose it and withdraw,Ignore it,Hide it,Justify it
Bribery involves:,Offering value to influence decisions,Honest negotiation,Transparency,Ethical persuasion
Which is NOT a form of bribery?,Public disclosure,Money,Gifts,Travel
Bribery undermines:,Trust and fairness,Efficiency,Competition,Innovation
Whistle-blowing is best defined as:,Exposing unethical practices to protect the public,Reporting colleagues for minor mistakes,Leaking data for profit,Disobeying management
Whistle-blowing should occur:,Only after internal options fail,Immediately,As a first option,Without evidence
The main purpose of whistle-blowing is to:,Protect public safety,Damage the company,Gain publicity,Punish management
Which is NOT a step in whistle-blowing?,Ignore management,Establish facts,Report internally,Escalate concerns
Whistle-blowers often face:,Retaliation and career risk,Promotion,Rewards,Legal immunity
The Challenger disaster involved failure of:,O-Ring in cold weather,Software update,Navigation system,Communication protocol
Engineer Robert Boisjoly:,Warned management of dangers,Approved the launch,Ignored the risks,Designed the O-Ring
The Challenger case highlights:,Public safety above employer loyalty,Loyalty to employer over safety,Innovation over caution,Legal compliance only
IEEE’s primary mission is to:,Advance technology for humanity,Regulate software,Enforce law,Increase profit
IEEE requires professionals to hold paramount:,Public safety health and welfare,Company loyalty,Innovation,Speed
Avoiding conflicts of interest is emphasized in:,IEEE Code of Ethics,CSR,Contract law,Marketing ethics
IEEE’s core principles include Safety Honesty Respect Competence and:,Fairness,Profit,Loyalty,Speed
The British Computer Society focuses on:,IT professionalism,Ethics only,Legal enforcement,Research funding
Which is NOT one of BCS’s four areas?,Profit maximization,Public interest,Professional competence,Duty to authority
Promoting equal access to IT belongs to:,Public interest,Duty to profession,Authority duty,Integrity
ACM emphasizes:,Avoiding harm,Competition,Speed of development,Obedience to management
Respecting privacy and confidentiality is central to:,ACM Code,Utilitarianism,Libertarianism,CSR
ACM requires professionals to:,Perform risk evaluations,Ignore risks,Maximize profit,Avoid feedback
The precautionary principle states that:,Action should wait until safety is demonstrated,Innovation should never stop,Action should proceed despite risk,Ethics replaces law
The precautionary principle is often applied to:,AI and emerging technologies,Accounting,Marketing,UI design
A criticism of the precautionary principle is that it:,May hinder innovation,Encourages harm,Ignores safety,Promotes corruption
Ethical responsibility goes beyond legality because:,Ethics defines moral excellence,Law covers everything,Ethics replaces law,Law is optional
Professional responsibility combines:,Ethics accountability and competence,Skill and profit,Obedience and loyalty,Law and punishment
