Question,Correct Answer,False Option 1,False Option 2,False Option 3
Social media is best defined as:,Use of computer technology for creation and exchange of user-generated content,A form of digital advertising,Government-controlled communication platforms,One-way digital publishing
Which is NOT a key characteristic of social media?,Centralized government control,Global connectivity,Social engagement,Mobilization of protest and action
Social media fundamentally changed communication by:,Enabling direct interaction between individuals communities and organizations,Eliminating organizations,Restricting information sharing,Reducing political participation
The PLATO system (1970s) introduced:,Online forums message boards and chat rooms,Social networking profiles,Photo sharing,Targeted advertising
Who invented the World Wide Web in the late 1980s?,Tim Berners-Lee,Bill Gates,Steve Jobs,Mark Zuckerberg
Social media became widespread mainly during:,The early 2000s,The 1980s,The 1990s,After 2015
Facebook / Meta is primarily focused on:,Social connections and communities,Professional networking,Micro-blogging,Job searching
Twitter/X is best described as:,A micro-blogging service,A photo-sharing platform,A messaging app only,A professional network
LinkedIn’s primary purpose is:,Professional networking,Entertainment,Political activism,Influencer marketing
Passive social media users are those who:,Observe and follow content without contributing,Create most content,Moderate discussions,Manage communities
The statement “Users are the product” means:,User data is monetized for advertising,Users pay subscription fees,Users own the platforms,Users control algorithms
Social media platforms primarily earn revenue through:,Advertisements,Software licenses,Hardware sales,Government funding
Which type of data is commonly collected by social media platforms?,Demographics interests behavior and social connections,Only usernames,Medical records only,Academic results
Facebook was founded in:,2004,1999,2002,2008
Facebook’s original controversial platform was:,Facemash,Instagram,WhatsApp,News Feed
The Arab Spring demonstrated that social media can:,Mobilize political protest and social change,Eliminate conflict,Replace governments,Prevent revolutions
One ethical concern of Facebook’s growth is:,Massive data collection and monitoring,Slow adoption,Excessive transparency,Limited user reach
Cambridge Analytica obtained data through:,A third-party personality quiz app,A Facebook hack,Government databases,Purchased data only
Approximately how many Facebook users were affected?,30–87 million,5 million,10 million,Over 1 billion
The main ethical issue in the Cambridge Analytica case was:,Lack of user consent and manipulation of voters,Poor algorithm accuracy,Advertising inefficiency,Software bugs
One consequence for Facebook was:,$5 billion FTC fine,Platform shutdown,Loss of all users,Criminal conviction of users
Social media consent is often problematic because it is:,“Take it or leave it”,Explicit and informed,Truly voluntary,Easy to understand
Facebook collects which type of location data?,Home and work locations,Only country,No location data,Government-provided data
Third-party apps increase privacy risk because they:,Have independent data-collection practices,Reduce data sharing,Improve encryption,Limit tracking
A major challenge in content moderation is:,Balancing free speech with user protection,Too little content,Lack of users,Over-regulation
Which is NOT a typical content moderation issue?,Source code licensing,Hate speech,Online harassment,Revenge porn
Community administrators are responsible for:,Moderating behavior and enforcing codes of conduct,Advertising,Algorithm design,Data encryption
Twitter was originally limited to:,140 characters,100 characters,280 characters,Unlimited text
Hashtags are used on Twitter to:,Identify trending topics,Encrypt messages,Restrict access,Hide content
Twitter’s business model includes:,Promoted tweets and data licensing,Only subscriptions,Hardware sales,Government grants
LinkedIn profiles typically include:,Professional experience and recommendations,Personal diaries,Political opinions,Anonymous posts
A major ethical risk on LinkedIn is:,Fake job offers for phishing,Excessive entertainment content,Political propaganda,Meme sharing
TikTok’s “Blackout Challenge” raised concerns about:,Algorithm-driven harm to minors,Data breaches,Copyright infringement,Poor UI design
Snapchat’s Snap Map case illustrates risks of:,Location sharing without informed consent,Data deletion,Encryption failure,Advertising
WhatsApp misinformation spread easily because:,Messages feel personal and trustworthy,Messages are public,Algorithms amplify posts,Ads are visible
Fake news is best described as:,Systematic spreading of false or misleading information,Satire,Journalism errors,Encrypted content
Social media increases fake news impact due to:,Algorithmic amplification and scale,Slow communication,Strong regulation,Manual moderation
Which is a method to identify fake news?,Checking reputable fact-checking sites,Ignoring the source,Trusting viral content,Relying on emotions
Social media platforms are increasingly seen as:,Media organizations with responsibilities,Neutral tools only,Private clubs,Government agencies
A turning point in platform moderation was:,Suspension of Trump after Capitol riot,Cambridge Analytica,TikTok bans,WhatsApp encryption
One argument for regulation is that platforms:,Shape public discourse and democracy,Are too small,Lack users,Are non-profit
Social media analytics aim to:,Understand behavior and measure effectiveness,Spy on users,Replace ethics,Eliminate moderation
Quantitative metrics include:,Likes shares and reach,User emotions,Sentiment analysis,Opinions
Social listening focuses on:,User emotions opinions and attitudes,Numerical data,Server performance,Security logs
Informed consent requires that users:,Understand data collection and can withdraw consent,Must always accept terms,Read all legal text,Trust platforms
Duty of care means platforms should:,Protect users from abuse and harm,Maximize engagement,Avoid moderation,Ignore complaints
Transparency requires platforms to:,Be clear about data use and policies,Hide algorithms,Reduce features,Avoid regulation
Infinite scroll and notifications are criticized because they:,Encourage addictive behavior,Improve accessibility,Reduce engagement,Improve privacy
Algorithmic bias on social media can lead to:,Discrimination and exclusion,Fair representation,Neutral outcomes,Improved democracy
Ethical social media ultimately aims to:,Serve humanity and protect democratic values,Maximize profit,Eliminate regulation,Reduce users
